Name;Date;Helpful;Comment;Rating
Alej Jk;21/01/2018;N/A;Je l’utilise depuis plusieurs années en version gratuite et elle m’a permis de suivre l’évolution et les efforts à faire !J’ai finalement souscrit à l’abonnement et avec l’entraînement personnalisé je découvre une autre façon de courir c’est vraiment bien fait et je vous à faire l’essai gratuitement ça change pas mal de choses 👍Dans les entraînement fractionnés et sur les tableaux serait-il possible de visualiser par une couleur ou un bip (vibration comme sur la Watch ?) par exemple où on se situe par rapport au rythme de l’intervalle. Et faire pareil sur course de distance (« je veux courir le 10km en 45 min ») avoir une indication sur le rythme pour y arriver. Ce serait plus agréable que d’avoir à regarder l’écran.;5
Vinvin51;04/02/2018;N/A;Malgré la nouvelle version il y a toujours des problèmes de dialogues entre le téléphone et la montre. Si je lance une course depuis laMontre l’application ne se met pas en route depuis le téléphone. Si je fais une course lancée depuis la montre je ne la retrouve pas dans l’historique des courses sur le téléphone. Autre problème :lorsque je lance l’application depuis l’Apple watch. Il n’y a pas les infos sonores(temps vitesse) émises par le téléphone.Très désolé à ce sujet. Nous avons résolu le problème dans la version 8.2.1. Si vous avez d'autres problèmes lors de l'ouverture de l'application Runkeeper veuillez envoyer un courriel à support@runkeeper.com;5
Appui:34;25/07/2019;N/A;Je n’arrive pas à faire la traduction en français;5
Linotte17;28/05/2019;N/A;Bien conçue et pratique. Je l’utilise depuis plusieurs années. Elle permet de suivre ses progrès en course à pied notamment et elle est assez complète pour une version gratuite en termes d’informations ( distance parcourue trajet dénivelé rythme temps effectué sont accessibles ) et avec une vision des performances sur la semaine le mois ou l’année... sauf que depuis quelques mois ces données ne s’enregistrent plus. Je viens d’enregistrer la mise à jour et cela ne change rien. Il y a aussi depuis quelques mois un autre bug qui est apparu : mes courses sont comptabilisées 2 fois dans mes activités le même jour. Si cela pouvait être corrigé 😬.Merci pour cette application.;4
loloth67;07/08/2019;N/A;Comment pouvoir comparer les rythmes cardiaques en mode chronomètre ?;5
matt9228;19/08/2018;N/A;Même en mode gratuit très bon gps multisport. Facile à utiliser intégré à Spotify pour la musique. Statistiques très bonnes en mode de base.;5
Nozila;19/11/2018;N/A;Depuis plusieurs semaines le cumul des activités ne se fait plus affiche toujours 0 c’est très très dommage est-ce-que cela va s’arranger? Je vois que je ne suis pas la seule dans ce cas mais je ne vois jamais de réponse :-( !! Merci de nous en donner une!!!;5
Mri_a;23/04/2018;N/A;Il manque la possibilité de mettre des km et non des miles;4
URiriSuper;08/09/2019;N/A;Pratique mais pas de possibilité de voir le rythme cardiaque lorsqu’on regarde le temps au kilomètre ni les km/h quand on choisit le temps/kmLe dénivelé par km est en total pas possible de voir le positif et le négatif (un km plat = un km avec 50m de dénivelé positif + 50 m de dénivelé négatif)Des pubs pour s’abonner a la fin de chaque entraînement ça agace..Comparer les courses semble top mais disponible en payant;3
Val-06-0255;23/01/2019;N/A;Petit bug : affichage disponible =- par semaine - par mois- « par mois » (au lieu de « par an »)(bien configuré annuel pourtant);5
Prolife1974;03/12/2017;N/A;Abonnement pour 1 an trop cher pas seulement pour moi 😏 Pour l’option GO ce sera juste par exemple 20   € par an. Pensez bien aux jeunes! 🙏🙏;4
fio_herve;03/06/2018;N/A;Je l’utilise depuis 5 ans en mode gratuit. Tout y est!;5
@argeddon;15/06/2018;N/A;"D'accord avec l'avis de SachaKeeper sur Apple Watch loin d'être au niveau. Bug sur les distances cardio surestimé d'au moins 20%.Ça c'est pour la partie Run et marche mais ça fonctionne bien quand même.Par contre si vous voulez une appli qui comptabilise d'autres choses que courir et marcher elle est assez nulle. Exemple : Je fais une séance dans un club avec un circuit de plusieurs activités: Cardio muscu gainage.Je lance donc sur ma watch l'application Runkeeper avec comme type autre. Jusque là rien à dire j'ai bien mon cardio le temps etc.. et une distance qui ne veut rien dire.À la fin de la séance j'enregistre et je regarde comment tout ça s'est implémenté.Oh surprise ! C'est mon application de base santé activité et exercice de l'iPhone qui a récolté les datas. Rien dans mon suivi Runkeeper!! 😡Alors messieurs les développeurs quel est l'intérêt de proposer ce type de rubrique ""autres"" s'il faut ensuite rentrer des données à la main au risque de fausser toutes les autres stats connectées Fitnesspal par exemple !J'ai pas fait test avec mon iPhone sur moi mais franchement la prochaine fois je me contenterai de l'application exercices de base de ma watch gratuit et aussi performante sinon plusEn résumé je garde pour mes runs pour le reste j'attends mieux";3
MadTalipad;30/07/2018;N/A;Les qualités de l'appli ne sont plus à vanter. Celles de sa version pour l'Apple Watch si !!L'écran est de loin le mieux organisé et le plus visuel sur des points clés comme le rythme cardiaque. Pour en avoir testé plusieurs il n'y a pas photo. J'avais juste un souci de paramétrage sur la montre et le support a été au top. Réactif efficace et avec des explications simples et claires. De loin la meilleure appli de running pour moi !!!!;4
9CRico;08/09/2018;N/A;Je n’utilise que le mode gratuit et cela m’aide dans ma reprise même si parfois au moment d’enregistrer il dit plus de gps et donc plus de carte;3
moouky33;15/09/2018;N/A;Nous n avons plus le cumul des kilomètres fait dans la semaine où dans le mois;5
fpicard343245;28/09/2018;N/A;La fonction stat cumul des kilometres temps par semaine mensuel.. ne fonctionne pas depuis 1 moi;5
macdall223;17/10/2018;N/A;Plutôt satisfait je trouve même en version gratuite tout ce qu’il faut le dénivelé les temps de parcours en fait toutes les données utiles pour la course mais aussi d’autres sports. En plus elle fonctionne très bien pas de bugs. Il est juste dommage de ne plus avoir les totales sur la semaine le mois et l’année. Je la recommande malgré tout.;5
Maot02;20/02/2019;N/A;Bonjour cette application est géniale et je vous en remercie énormément notamment pour les défis tels que le ASICS Pace Academy qui est excellent et très motivant ! En espérant que d'autres défis ASICS seront bientôt dispo 😃Cependant pour que cette app soit parfaite il manque juste la possibilité de lancer directement depuis l'Apple Watch une session autre que les sessions personnalisées telle qu'une course basée sur une certaine distance durée ou rythme.En tout cas vous avez déjà fait un super travail !En vous remerciant d'avance.Thomas.;4
walking74;10/01/2020;N/A;Je l’utilise depuis 2 ansJ’etais plutôt satisfait mais j’ai investi dans une apple watch et clairement la synchronisation entre l’iphone et l’apple watch ne marche pas bien pour cette application. Run keeper ne se lance pas automatiquement sur l’apple watch et inversement du coup je rate la récupération de ma fréquence cardiaque 2 fois sur 3Il manque aussi 2 fonctionnalités majeures : un mode fractionné et un tableau % des fréquences cardiaques sur une course;4
arnaud8110;16/07/2018;N/A;Bonne application permet un bon suivi par contre 2 bémols :  - l'appli propose des défis mais il manque le classement final : donc inutile  - il manque la vitesse en km/h d'une course ... la longueur de la foulée ...;5
caromalo;03/12/2018;N/A;Très facile d’utilisation et motivé car on peut partager nos courses entre coureurs.;5
