Name;Date;Helpful;Comment;Rating
Jrouby;17/04/2018;N/A;J'utilise le site web et l'application depuis plusieurs années maintenant et ce sont de merveilleux outils pour les activités outdoor.Un axe d'amélioration : dans l'application mobile ajouter la possibilité de rechercher par mot-clé dans ses activités (comme c'est le cas sur le site web). Cela éviterait de faire défiler la liste indéfiniment à la recherche d'une activité ancienne...;5
michaelcousin;25/09/2019;N/A;L’application est géniale pour progresser surtout quand on a une montre connectée. Cependant on ne peut pas faire des Challenge si notre profil n’est pas ouvert à tout le monde. Par ailleurs la confidentialité sur nos données cardiaques ne peuvent être dissociées de la confidentialité de notre profil. Par exemple j’aimerais mon profil ouvert aux abonnés mais mes données cardiaques uniquement pour moi. Et ça ce n’est pas possible je n’ai pas spécialement envie que mon réseau connaisse l’état de santé de mon cœur.;5
Wallreaker35;14/11/2017;N/A;Super application le meilleur étant le fonctionnement des segments qui permettent de comparer sa course avec celle des autres utilisateurs strava.🍾Testez le mode pro un jour de course la possibilité de rejouer sa course en live avec les autres utilisateurs sur le site web est très sympa également ! 👌Enfin pour ne rien gâcher relivecc vous prépare une vidéo de chacune de vos courses 👍;5
Tit ben;08/12/2019;N/A;Au delà des fonctions de base et du côté très complet du site web je trouve les app iPhone et Apple Watch pas encore parfaites. J’ai noté à plusieurs reprises des bugs d’enregistrement ou de distances sur Apple Watch. Des distances aberrantes enregistrées (300m au lieu de plusieurs km) Hier une compétition de 36km bien suivie sur AW (tout collait avec une autre montre Garmin d’un collègue) mais une fois l’activité terminée : aucun enregistrement je vois l’activité sur mes anneaux du suivi d’activité mais rien dans Strava. Impossible de retrouver le tracé et les datas. C’est la 2e fois que ça m’arrive sur même pas 10 tests. C’est trop pour moi pour dire que c’est fiable ! Il faudrait régler ces problèmes qui viennent peut-être d’une mauvaise couverture réseau mais il faudrait prévoir de pre-enregistrer et synchroniser quand le réseau revient. Sachant qu’avec les activités de plein air on est souvent loin des antennes relais.;3
WillyV38;28/10/2018;N/A;Cette appli est top. Elle permet d’enregistrer ses activités et comparer ses chronos par rapport à d’autres personnes qui ont effectué le même parcours. Possibilité d’ajouter des photos pour illustrer la sortie et commenter les activités. Possibilité également de préciser son matériel pour chaque sortie et d’avoir le kilométrage effectué avec chaque paire de basket. Plus plein d’indicateurs de performance même avec la version gratuite.Bref je suis devenu addict ...;5
bernoche;14/02/2019;N/A;Application parfaite sauf ..quand que l.on ne peut pas modifier les données d.entrees lorsque par exemple on a une montre cardio et que les donnés sont transmises on ne voit pas apparaître les km réellement réalisés sur la semaine (objectif semaine ) alors que pourtant ils sont comptabilisés dans l’enregistrement du jour (probleme. GPS ..?) dommage car sinon très bien;4
angy1234567890;31/03/2019;N/A;Sur une tablette 10 pouces il serait préférable d’avoir un affichage en mode paysage;5
Dark--Nico;02/11/2019;N/A;Très très bonne application proche de la perfection. 2 suggestions : pouvoir signaler une activité manifestement irréaliste (une course à pied avec des pointes à 60km/h ou plus par exemple) qui prend des Kom ou des coupes. Et une fonction de recherche d’activité sur l’application mobile.;5
Josette68;02/04/2019;N/A;Au top Strava. Je l’utilise depuis des années et vraiment c’est génial pour suivre sa progression et retrouver ses traces. Voir de challenger sur des segments. .Petite demande pour les femmes qui courent seules. Serait il possible de masquer la carte. Ne voir que une photo (si on en met une) il n’y a malheureusement pas que des sportifs sur Strava. J’ai verrouillé pas mal de choses mais... j’aimerais ne pas montrer mon parcours de run après le taf en semaine. Je ne me sens pas rassurée. Donc je dois masquer mes activités car la carte se voit. Merci d’avance.;4
Tiboubout;14/01/2019;N/A;Une suggestion : lors de la création d’un segment il faudrait préciser le type de segment par exemple Route xc enduro dh. Lors de la recherche de segments sur la carte filtrer l’affichage des segments par type. Merci 🤘;5
Vasili06;19/09/2017;N/A;Enfin un réseau social sain. Du sportif pro au joggeur du Dimanche. Tout le monde à sa place ici.;5
claudio13011;08/11/2018;N/A;Un excellente application que j’utilise depuis quelques années. Dans la version gratuite  tous y es . Du moins le principal.Le seul bémol est le fait que l’on ne peut faire un duathlon ou triathlon sur la même séance. Obligé de faire deux ou trois séance spécifique .Dommage d’autant plus qu’apparemment c’est une demande de certains utilisateurs depuis un bon moment.Une montre arrive à le faire pourquoi pas un smartphone;5
lechteu;20/02/2019;N/A;Je suis lassé de toutes ces applications soit disant multisports qui en réalité ne proposent que le minimum pour tout sport qui n’est pas course à pied ou vélo. Je ne parle pas du fait qu’il faille s’abonner pour accéder à des fonctionnalités spécifiques. Prenez par exemple la possibilité de se fixer un objectif pour un sport autre que course à pied ou vélo. C’est juste impossible à moins de tricher et de considérer son sport comme étant l’un des précédents avec l’inconvénient de ne pas pouvoir faire de statistiques et d’analyse spécifiques. Cette fonctionnalité n’est rien en terme de programmation. Voilà en quoi vous pourriez améliorer Strava.;4
raj_0202;05/03/2019;N/A;BonjourPouvez-vous inclure dans l’application la gestion de la fréquence cardiaque en effet depuis le site Web il est possible de rendre privée la fréquence cardiaque mais il n’est pas possible de le rendre privé depuis l’application iOS.Cordialement;5
ArnaudSpak;03/04/2019;N/A;Super appli mais a quand la possibilité de suivre une trace gpx ? Et aussi à quand la possibilité de refaire les randonnées (VTT) de ses amis ?Merci !;5
Thilucie;05/06/2019;N/A;Il faut vraiment pouvoir accéder à un historique recherche d’une course depuis plus de 1 an (inexistant chez strava il faut redescendre pour retrouver la course historie ) très long et pas simple;5
